City,Country,Subcountry,Geonameid
Benevides,Brazil,Pará,3405792
Bengaluru,India,Karnataka,1277333
Bengbu,China,Anhui Sheng,1816440
Benghazi,Libya,Banghāzī,88319
Bengkulu,Indonesia,Bengkulu,1649150
Benguela,Angola,Benguela,3351663
Beni,Democratic Republic of the Congo,Nord Kivu,219057
Beni Amrane,Algeria,Boumerdes,2504739
Beni Douala,Algeria,Tizi Ouzou,2504703
Beni Khiar,Tunisia,Nābul,2472722
Beni Mellal,Morocco,Tadla-Azilal,2555745
Beni Mered,Algeria,Blida,2504622
Beni Mester,Algeria,Tlemcen,2504616
Beni Saf,Algeria,Aïn Temouchent,2504581
Benicia,United States,California,5327550
Benidorm,Spain,Valencia,2521088
Benin City,Nigeria,Edo,2347283
Benito Juarez,Mexico,Mexico City,3827406
Benoni,South Africa,Gauteng,1020098
Benoy,Chad,Logone Occidental,2435508
Bensekrane,Algeria,Tlemcen,2504385
Bensenville,United States,Illinois,4884509
Bensheim,Germany,Hesse,2950978
Bensonhurst,United States,New York,5108815
Bensonville,Liberia,Montserrado,2278682
Benthuizen,Netherlands,South Holland,2759178
Bentley,United Kingdom,England,2655882
Benton,United States,Arkansas,4101241
Bentong Town,Malaysia,Pahang,1779790
Bentonville,United States,Arkansas,4101260
Bentota,Sri Lanka,Southern,1249978
Benxi,China,Liaoning,2038300
Beolgyo,South Korea,Jeollanam-do,1839011
Beppu,Japan,Oita,1864750
Bera,Bangladesh,Rājshāhi,1209562
Berasia,India,Madhya Pradesh,1276449
Berastagi,Indonesia,North Sumatra,1215395
Berat,Albania,Berat,3186084
Berber,Sudan,River Nile,377690
Berbera,Somalia,Woqooyi Galbeed,64435
Berck,France,Nord-Pas-de-Calais-Picardie,3033415
Berck-Plage,France,Nord-Pas-de-Calais-Picardie,3033416
Berdsk,Russia,Novosibirsk,1510350
Berdychiv,Ukraine,Zhytomyr,712441
Berea,United States,Ohio,5147097
Berehove,Ukraine,Zakarpattia,712423
Berekum,Ghana,Brong-Ahafo,2303125
Berezniki,Russia,Perm,577206
Berga,Spain,Catalonia,3128201
Bergama,Turkey,İzmir,321426
Bergamo,Italy,Lombardy,3182164
Bergedorf,Germany,Hamburg,7290243
Bergeijk,Netherlands,North Brabant,2759132
Bergen,Norway,Hordaland,3161732
Bergen op Zoom,Netherlands,North Brabant,2759145
Bergenfield,United States,New Jersey,5095611
Bergerac,France,Aquitaine-Limousin-Poitou-Charentes,3033391
Bergheim,Germany,North Rhine-Westphalia,2950438
Bergisch Gladbach,Germany,North Rhine-Westphalia,2950349
Bergkamen,Germany,North Rhine-Westphalia,2950344
Bergneustadt,Germany,North Rhine-Westphalia,2950294
Bergschenhoek,Netherlands,South Holland,2759113
Beringen,Belgium,Flanders,2802170
Berja,Spain,Andalusia,2521016
Berkane,Morocco,Oriental,2555467
Berkel en Rodenrijs,Netherlands,South Holland,6929992
Berkeley,United States,California,5327684
Berkhamsted,United Kingdom,England,2655858
Berkovitsa,Bulgaria,Montana,733264
Berlin,Germany,Berlin,2950159
Berlin Treptow,Germany,Berlin,7290255
Bermeo,Spain,Basque Country,3128174
Bern,Switzerland,Bern,2661552
Bernau bei Berlin,Germany,Brandenburg,2950096
Bernburg,Germany,Saxony-Anhalt,2950073
Beroroha,Madagascar,Atsimo-Andrefana,1066831
Beroun,Czech Republic,Central Bohemia,3079467
Berrahal,Algeria,Annaba,2504136
Berrechid,Morocco,Chaouia-Ouardigha,2556272
Berriane,Algeria,Ghardaïa,2504110
Berrouaghia,Algeria,Médéa,2504099
Bertioga,Brazil,São Paulo,3470052
Bertoua,Cameroon,East,2234359
Beruniy,Uzbekistan,Karakalpakstan,1514387
Beruwala,Sri Lanka,Western,1249931
Berwick,Australia,Victoria,2176031
Berwick-Upon-Tweed,United Kingdom,England,2655819
Berwyn,United States,Illinois,4884597
Beryozovsky,Russia,Sverdlovsk,1510203
Besbes,Algeria,El Tarf,2504072
Beshariq,Uzbekistan,Fergana,1514382
Beshkent,Uzbekistan,Qashqadaryo,1217703
Beslan,Russia,North Ossetia,576697
Besni,Turkey,Adıyaman,321337
Bessemer,United States,Alabama,4048023
Best,Netherlands,North Brabant,2759040
Besuki,Indonesia,East Java,1648918
Bet Shemesh,Israel,Jerusalem,295432
Betafo,Madagascar,Vakinankaratra,1066514
Betamcherla,India,Andhra Pradesh,1276416
Bethal,South Africa,Mpumalanga,1019760
Bethany,United States,Oklahoma,4530372
Bethany,United States,Oregon,5713759
Bethel Park,United States,Pennsylvania,5180199
Bethesda,United States,Maryland,4348599
Bethlehem,Palestinian Territory,West Bank,284315
Bethlehem,South Africa,Orange Free State,1019704
Bethlehem,United States,Pennsylvania,5180225
Bethnal Green,United Kingdom,England,6690989
Bethpage,United States,New York,5108955
Betim,Brazil,Minas Gerais,3470044
Betioky,Madagascar,Atsimo-Andrefana,1066310
Betong,Thailand,Yala,1611635
Bettendorf,United States,Iowa,4848489
Bettiah,India,Bihar,1276393
Beuningen,Netherlands,Gelderland,2759016
Beveren,Belgium,Flanders,2802031
Beverley,United Kingdom,England,2655785
Beverly,United States,Massachusetts,4930505
Beverly Cove,United States,Massachusetts,4930511
Beverly Hills,United States,California,5328041
Beverungen,Germany,North Rhine-Westphalia,2949475
Beverwijk,Netherlands,North Holland,2758998
Bewar,India,Uttar Pradesh,1276381
Bexbach,Germany,Saarland,2949470
Bexhill-on-Sea,United Kingdom,England,2655777
Bexley,United Kingdom,England,2655775
Beykonak,Turkey,Antalya,305680
Beypore,India,Kerala,1276378
Bezenchuk,Russia,Samara,576590
Bezerros,Brazil,Pernambuco,3405738
Bezhetsk,Russia,Tverskaya,576566
Bezons,France,Île-de-France,3032824
Bhabhua,India,Bihar,1276371
Bhadaur,India,Punjab,1276353
Bhadohi,India,Uttar Pradesh,1276335
Bhadrakh,India,Odisha,1276325
Bhadrapur,Nepal,Eastern Region,1283628
Bhadreswar,India,West Bengal,1276320
Bhainsdehi,India,Madhya Pradesh,1276265
Bhaisa,India,Telangana,1276249
Bhakkar,Pakistan,Punjab,1182815
Bhamo,Myanmar,Kachin,1328218
Bhanjanagar,India,Odisha,1276159
Bharatpur,India,Rajasthan,1276128
Bharatpur,Nepal,Central Region,1283613
Bharthana,India,Uttar Pradesh,1276103
Bhatinda,India,Punjab,1276070
Bhatkal,India,Karnataka,1276067
Bhattiprolu,India,Andhra Pradesh,1276054
Bhawanipur,India,Bihar,7626554
Bhera,Pakistan,Punjab,1182665
Bhikangaon,India,Madhya Pradesh,1275978
Bhilai,India,Chhattisgarh,1275971
Bhimbar,Pakistan,Azad Kashmir,1182637
Bhind,India,Madhya Pradesh,1275926
Bhinga,India,Uttar Pradesh,1275921
Bhisho,South Africa,Eastern Cape,1019330
Bhiwadi,India,Rajasthan,7279747
Bhiwandi,India,Maharashtra,1275901
Bhogpur,India,Punjab,1275882
Bhola,Bangladesh,Barisāl,1336136
Bhongaon,India,Uttar Pradesh,1275849
Bhopal,India,Madhya Pradesh,1275841
Bhor,India,Maharashtra,1275836
Bhuban,India,Odisha,1275818
Bhubaneshwar,India,Odisha,1275817
Bhudgaon,India,Maharashtra,1275814
Bhuj,India,Gujarat,1275812
Bhuvanagiri,India,Tamil Nadu,1275768
Biancavilla,Italy,Sicily,2525560
Biankouma,Ivory Coast,Dix-Huit Montagnes,2291666
Bianzhuang,China,Shandong Sheng,1816406
Biaora,India,Madhya Pradesh,1275762
Biarritz,France,Aquitaine-Limousin-Poitou-Charentes,3032797
Bibai,Japan,Hokkaido,2130534
Bibiani,Ghana,Western,2303060
Bibirevo,Russia,Moscow,576432
Bicester,United Kingdom,England,2655729
Bichena,Ethiopia,Amhara,342190
Bida,Nigeria,Niger,2347209
Bidbid,Oman,Muḩāfaz̧at ad Dākhilīyah,288721
Biddeford,United States,Maine,4958141
Biddulph,United Kingdom,England,2655708
Bideford,United Kingdom,England,2655707
Bidur,Malaysia,Perak,1735287
Biel/Bienne,Switzerland,Bern,2661513
Bielany,Poland,Masovian Voivodeship,776029
Bielawa,Poland,Lower Silesian Voivodeship,3103476
Bielefeld,Germany,North Rhine-Westphalia,2949186
Biella,Italy,Piedmont,3182043
Bielsk Podlaski,Poland,Podlasie,775986
Bielsko-Biala,Poland,Silesian Voivodeship,3103402
Biesdorf,Germany,Berlin,2949073
Bietigheim-Bissingen,Germany,Baden-Württemberg,2949012
Big Spring,United States,Texas,5517061
Biga,Turkey,Çanakkale Province,750605
Biggleswade,United Kingdom,England,2655689
Bignay Uno,Philippines,Calabarzon,1725359
Bignona,Senegal,Ziguinchor,2253901
Biharamulo,Tanzania,Kagera,161154
Bihoro,Japan,Hokkaido,2127383
Bijapur,India,Karnataka,1275701
Bijeljina,Bosnia and Herzegovina,Republika Srpska,3204186
Bijelo Polje,Montenegro,Bijelo Polje,3204176
Bijie,China,Guizhou Sheng,1816373
Bijnor,India,Uttar Pradesh,1275679
Bikin,Russia,Khabarovsk Krai,2026696
Bikramganj,India,Bihar,1275655
Bila Tserkva,Ukraine,Kiev,712165
Bilderstoeckchen,Germany,North Rhine-Westphalia,6691078
Bilecik,Turkey,Bilecik,750598
Bilgi,India,Karnataka,1275619
Bilhaur,India,Uttar Pradesh,1275614
Bilicenii Vechi,Moldova,Sîngerei,617345
Bilimora,India,Gujarat,1275610
Billerica,United States,Massachusetts,4930577
Billericay,United Kingdom,England,2655672
Billingham,United Kingdom,England,2655664
Billings,United States,Montana,5640350
Billiri,Nigeria,Gombe,2347155
Bilopillya,Ukraine,Sumy,712559
Biloxi,United States,Mississippi,4418478
Bilsanda,India,Uttar Pradesh,1275593
Bilsi,India,Uttar Pradesh,1275590
Bilthra,India,Uttar Pradesh,1275589
Bilzen,Belgium,Flanders,2801924
Bima,Indonesia,West Nusa Tenggara,1648759
Bimbo,Central African Republic,Ombella-Mpoko,2388873
Binalbagan,Philippines,Western Visayas,1725157
Binangonan,Philippines,Calabarzon,1725094
Binche,Belgium,Wallonia,2801922
Bindki,India,Uttar Pradesh,1275572
Bindura,Zimbabwe,Mashonaland Central,895061
Bingen am Rhein,Germany,Rheinland-Pfalz,2948825
Bingerville,Ivory Coast,Lagunes,2291580
Binghamton,United States,New York,5109177
Bingley,United Kingdom,England,2655642
Binhe,China,Henan Sheng,1793419
Binjai,Indonesia,North Sumatra,1215355
Binka,India,Odisha,1275558
Binmaley,Philippines,Ilocos,1724956
Binnish,Syria,Idlib,171451
Binonga,Philippines,Western Visayas,1724933
Bintulu,Malaysia,Sarawak,1737486
Biny Selo,Azerbaijan,Baki,586968
Binzhou,China,Shandong Sheng,1816336
Binzhou,China,Heilongjiang Sheng,2038283
Bir el Ater,Algeria,Tébessa,2503878
Bir el Djir,Algeria,Oran,2503874
Birecik,Turkey,Şanlıurfa,321062
Birendranagar,Nepal,Mid Western,6254843
Bireun,Indonesia,Aceh,1215350
Birigui,Brazil,São Paulo,3469989
Birine,Algeria,Djelfa,2503852
Biritiba Mirim,Brazil,São Paulo,3469984
Birkenhead,United Kingdom,England,2655613
Birkhadem,Algeria,Alger,2503847
Birkirkara,Malta,Birkirkara,2563191
Birmingham,United Kingdom,England,2655603
Birmingham,United States,Alabama,4049979
Birmingham,United States,Michigan,4986172
Birmitrapur,India,Odisha,1275506
Birni N Konni,Niger,Tahoua,2437732
Birnin Kebbi,Nigeria,Kebbi,2347059
Birnin Kudu,Nigeria,Jigawa,2347057
Birobidzhan,Russia,Jewish Autonomous Oblast,2026643
Birpara,India,West Bengal,7284803
Birsk,Russia,Bashkortostan,576317
Bisauli,India,Uttar Pradesh,1275476
Bisceglie,Italy,Apulia,3182007
Bischheim,France,Alsace-Champagne-Ardenne-Lorraine,3032551
Bishkek,Kyrgyzstan,Bishkek,1528675
Bishnupur,India,West Bengal,1275462
Bishoftu,Ethiopia,Oromiya,339666
Bishop Auckland,United Kingdom,England,2655583
Bishopbriggs,United Kingdom,Scotland,2655582
Bishops Stortford,United Kingdom,England,2655562
Bishopstoke,United Kingdom,England,2655557
Biskra,Algeria,Biskra,2503826
Bislig,Philippines,Caraga,1724767
Bismarck,United States,North Dakota,5688025
Bismil,Turkey,Diyarbakır,321031
Bissau,Guinea-Bissau,Bissau,2374775
Bitkine,Chad,Guéra,2435124
Bitlis,Turkey,Bitlis,321025
Bitola,Macedonia,Bitola,792578
Bitonto,Italy,Apulia,3181995
Bitterfeld-Wolfen,Germany,Saxony,2948164
Bitung,Indonesia,North Sulawesi,1648636
Biu,Nigeria,Borno,2346995
Bixby,United States,Oklahoma,4530801
Biysk,Russia,Altai Krai,1510018
Bizerte,Tunisia,Banzart,2472706
Bjelovar,Croatia,Bjelovarsko-Bilogorska,3203982
Blackburn,United Kingdom,England,2655524
Blackheath,United Kingdom,England,6947041
Blackpool,United Kingdom,England,2655459
Blacktown,Australia,New South Wales,2175411
Blackwood,United Kingdom,Wales,3345317
Bladel,Netherlands,North Brabant,2758878
Blagnac,France,Languedoc-Roussillon-Midi-Pyrénées,3032469
Blagodarnyy,Russia,Stavropol'skiy,576172
Blagoevgrad,Bulgaria,Blagoevgrad,733191
Blagoveshchensk,Russia,Bashkortostan,576116
Blagoveshchensk,Russia,Amur,2026609
Blaine,United States,Minnesota,5018651
Blainville,Canada,Quebec,5903510
Blaj,Romania,Alba,684612
Blanchardstown,Ireland,Leinster,2966110
Blanes,Spain,Catalonia,3127978
Blankenberge,Belgium,Flanders,2801858
Blankenburg,Germany,Saxony-Anhalt,2948071
Blanquefort,France,Aquitaine-Limousin-Poitou-Charentes,3032340
Blansko,Czech Republic,South Moravian,3079273
Blantyre,Malawi,Southern Region,931755
Blenheim,New Zealand,Marlborough,6243926
Bletchley,United Kingdom,England,2655351
Blida,Algeria,Blida,2503769
Blieskastel,Germany,Saarland,2947739
Blitar,Indonesia,East Java,1648580
Bloemendaal,Netherlands,North Holland,2758804
Bloemfontein,South Africa,Orange Free State,1018725
Bloemhof,South Africa,North-West,1018673
Blois,France,Centre,3032213
Blomberg,Germany,North Rhine-Westphalia,2947641
Bloomfield,United States,New Jersey,5095779
Bloomingdale,United States,Florida,4148207
Bloomingdale,United States,Illinois,4885156
Bloomington,United States,Indiana,4254679
Bloomington,United States,Illinois,4885164
Bloomington,United States,Minnesota,5018739
Bloomington,United States,California,5329408
Blora,Indonesia,Central Java,1648568
Bloxwich,United Kingdom,England,2655329
Blue Island,United States,Illinois,4885186
Blue Springs,United States,Missouri,4377664
Bluefields,Nicaragua,Atlántico Sur,3620680
Blumenau,Brazil,Santa Catarina,3469968
Blyth,United Kingdom,England,2655315
Blythe,United States,California,5329649
Blytheville,United States,Arkansas,4102412
Bo,Sierra Leone,Southern Province,2410048
Bo Phloi,Thailand,Kanchanaburi,1153850
Boa Viagem,Brazil,Ceará,3405616
Boa Vista,Brazil,Roraima,3664980
Boaco,Nicaragua,Boaco,3620674
Boadilla del Monte,Spain,Madrid,3127958
Boardman,United States,Ohio,5147784
Bobbili,India,Andhra Pradesh,1275406
Bobigny,France,Île-de-France,3032179
Bobingen,Germany,Bavaria,2947449
Bobo-Dioulasso,Burkina Faso,High-Basins,2362344
Bobrov,Russia,Voronezj,575948
Boca Chica,Dominican Republic,Santo Domingo,3511336
Boca Del Mar,United States,Florida,4148399
Boca Raton,United States,Florida,4148411
Boca Suno,Ecuador,Orellana,3660152
Bocaue,Philippines,Central Luzon,1724489
Bochnia,Poland,Lesser Poland Voivodeship,775758
Bocholt,Germany,North Rhine-Westphalia,2947421
Bochum,Germany,North Rhine-Westphalia,2947416
Bochum-Hordel,Germany,North Rhine-Westphalia,6941055
Boda,Central African Republic,Lobaye,2388614
Bodaybo,Russia,Irkutsk,2026583
Bode Saadu,Nigeria,Kwara,2346951
Bodegraven,Netherlands,South Holland,2758765
Boden,Sweden,Norrbotten,606531
Bodhan,India,Telangana,1275391
Bodrum,Turkey,Muğla,320995
Boende,Democratic Republic of the Congo,Équateur,218680
Bogale,Myanmar,Ayeyarwady,1328121
Bogatynia,Poland,Lower Silesian Voivodeship,3103096
Bogdanovich,Russia,Sverdlovsk,1509888
Bogenhausen,Germany,Bavaria,2947022
Boghni,Algeria,Tizi Ouzou,2503755
Bognor Regis,United Kingdom,England,2655262
Bogo,Philippines,Central Visayas,1724435
Bogo,Cameroon,Far North,2233805
Bogor,Indonesia,West Java,1648473
Bogoroditsk,Russia,Tula,575591
Bogorodsk,Russia,Nizjnij Novgorod,575560
Bogorodskoye,Russia,MO,575505
Bogotol,Russia,Krasnoyarskiy,1509852
Bogovinje,Macedonia,Bogovinje,792501
Bogra,Bangladesh,Rājshāhi,1337233
Boguchar,Russia,Voronezj,575457
Bohicon,Benin,Zou,2395049
Bohodukhiv,Ukraine,Kharkiv,711894
Bohuslav,Ukraine,Kiev,711867
Boiro,Spain,Galicia,3127889
Boisar,India,Maharashtra,1275368
Boisbriand,Canada,Quebec,5905132
Bois-Colombes,France,Île-de-France,3032070
Boise,United States,Idaho,5586437
Boituva,Brazil,São Paulo,3469540
Bojia,China,Hunan,1929434
Bojonegoro,Indonesia,East Java,1648451
Boksburg,South Africa,Gauteng,1017780
Boksitogorsk,Russia,Leningrad,575410
Boldumsaz,Turkmenistan,Daşoguz,601661
Bolgatanga,Ghana,Upper East,2302821
Bolhrad,Ukraine,Odessa,711841
Boli,China,Heilongjiang Sheng,2038274
Bolingbrook,United States,Illinois,4885265
Bollate,Italy,Lombardy,3181931
Bolobo,Democratic Republic of the Congo,Bandundu,2316748
Bologna,Italy,Emilia-Romagna,3181928
Bologoye,Russia,Tverskaya,575349
Bolotnoye,Russia,Novosibirsk,1509819
Bolpur,India,West Bengal,1275346
Bolton,United Kingdom,England,2655237
Bolu,Turkey,Bolu,750516
Bolvadin,Turkey,Afyonkarahisar,320879
Bolzano,Italy,Trentino-Alto Adige,3181913
Bom Conselho,Brazil,Pernambuco,3405380
Bom Despacho,Brazil,Minas Gerais,3469516
Bom Jesus da Lapa,Brazil,Bahia,3469437
Bom Jesus do Itabapoana,Brazil,Rio de Janeiro,3469425
Bonao,Dominican Republic,Monseñor Nouel,3511233
Bondo,Democratic Republic of the Congo,Eastern Province,218253
Bondoukou,Ivory Coast,Zanzan,2291136
Bondowoso,Indonesia,East Java,1648266
Bondy,France,Île-de-France,3031815
Bonga,Ethiopia,"Southern Nations, Nationalities, and People's Region",341742
Bongabon,Philippines,Central Luzon,1724106
Bongaigaon,India,Assam,1275321
Bongao,Philippines,Autonomous Region in Muslim Mindanao,1724088
Bongor,Chad,Mayo-Kebbi Est,2434910
Bongouanou,Ivory Coast,Lacs,2291113
Bonita Springs,United States,Florida,4148533
Bonn,Germany,North Rhine-Westphalia,2946447
Bonneuil-sur-Marne,France,Île-de-France,3031709
Bonney Lake,United States,Washington,5787776
Bonny,Nigeria,Rivers,2346812
Bonoua,Ivory Coast,Sud-Comoé,2291087
Bontang,Indonesia,East Kalimantan,1648186
Boo,Sweden,Stockholm,2721259
Boom,Belgium,Flanders,2801494
Boone,United States,North Carolina,4456703
Bootle,United Kingdom,England,2655198
Booval,Australia,Queensland,7932654
Boppard,Germany,Rheinland-Pfalz,2946366
Bor,Turkey,Niğde,320871
Bor,South Sudan,Jonglei,377241
Bor,Russia,Nizjnij Novgorod,572665
Bor,Serbia,Central Serbia,792456
Bordeaux,France,Aquitaine-Limousin-Poitou-Charentes,3031582
Bordj Bou Arreridj,Algeria,Bordj Bou Arréridj,2503701
Bordj el Kiffan,Algeria,Alger,2503661
Bordj Ghdir,Algeria,Bordj Bou Arréridj,2503654
Bordj Zemoura,Algeria,Bordj Bou Arréridj,2503620
Borehamwood,United Kingdom,England,2655186
Borger,Netherlands,Drenthe,2758621
Borgomanero,Italy,Piedmont,3181790
Borisoglebsk,Russia,Voronezj,572525
Borivli,India,Maharashtra,1275248
Borken,Germany,North Rhine-Westphalia,2946228
Bormujos,Spain,Andalusia,2520833
Born,Netherlands,Limburg,2758602
Borna,Germany,Saxony,2946172
Borne,Netherlands,Overijssel,2758598
Bornem,Belgium,Flanders,2801447
Bornheim,Germany,North Rhine-Westphalia,2946111
Borodino,Russia,Krasnoyarskiy,1508943
Borongan,Philippines,Eastern Visayas,1723893
Boronia,Australia,Victoria,2174580
Boroon,Philippines,Northern Mindanao,1722356
Borough of Queens,United States,New York,5133273
Borovichi,Russia,Novgorod,572154
Borovskiy,Russia,Tjumen,1508879
Borsad,India,Gujarat,1275230
Borssele,Netherlands,Zeeland,2758587
Boryslav,Ukraine,Lviv,711669
Borzya,Russia,Transbaikal Territory,2026126
Bosanska Krupa,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,3203653
Bosaso,Somalia,Bari,64013
Boscoreale,Italy,Campania,3181683
Boshan,China,Shandong Sheng,1816265
Boshkengash,Tajikistan,Dushanbe,1222107
Boskoop,Netherlands,South Holland,2758547
Bossangoa,Central African Republic,Ouham,2388036
Bossier City,United States,Louisiana,4317639
Boston,United Kingdom,England,2655138
Boston,United States,Massachusetts,4930956
Bostonia,United States,California,5330167
Botevgrad,Bulgaria,Sofiya,733014
Bothaville,South Africa,Orange Free State,1016698
Bothell,United States,Washington,5787829
Botolan,Philippines,Central Luzon,1723822
Botou,China,Hebei,1816256
Botshabelo,South Africa,Orange Free State,1016670
Bottrop,Germany,North Rhine-Westphalia,2945756
Botucatu,Brazil,São Paulo,3469136
Bou Hanifia el Hamamat,Algeria,Mascara,2503033
Bou Tlelis,Algeria,Oran,2502239
Bouar,Central African Republic,Nana-Mambéré,2387926
Boucherville,Canada,Quebec,5906267
Boudjima,Algeria,Tizi Ouzou,2503237
Boudouaou,Algeria,Boumerdes,2503229
Boufarik,Algeria,Blida,2503181
Bougaa,Algeria,Sétif,2503156
Bougado,Portugal,Porto,2742051
Bougara,Algeria,Blida,2503147
Bougouni,Mali,Sikasso,2459775
Bouguenais,France,Pays de la Loire,3031268
Bouinan,Algeria,Blida,2502962
Boujniba,Morocco,Chaouia-Ouardigha,6546693
Boukadir,Algeria,Chlef,2502924
Boulder,United States,Colorado,5574991
Boulder City,United States,Nevada,5500539
Boulogne-Billancourt,France,Île-de-France,3031137
Boulogne-sur-Mer,France,Nord-Pas-de-Calais-Picardie,3031133
Boulsa,Burkina Faso,Centre-Nord,2361946
Boumahra Ahmed,Algeria,Guelma,2502686
Boumerdas,Algeria,Boumerdes,2474141
Bouna,Ivory Coast,Zanzan,2290849
Boundiali,Ivory Coast,Savanes,2290836
Bountiful,United States,Utah,5771826
Bourbonnais,United States,Illinois,4885342
Bourg-en-Bresse,France,Auvergne-Rhône-Alpes,3031009
Bourges,France,Centre,3031005
Bourg-la-Reine,France,Île-de-France,3030990
Bourgoin,France,Auvergne-Rhône-Alpes,3030960
Bourgoin-Jallieu,France,Auvergne-Rhône-Alpes,6615539
Bournemouth,United Kingdom,England,2655095
Boussu,Belgium,Wallonia,2801226
Bouznika,Morocco,Chaouia-Ouardigha,2553751
Bovisio-Masciago,Italy,Lombardy,3181641
Bowie,United States,Maryland,4349159
Bowling Green,United States,Kentucky,4285268
Bowling Green,United States,Ohio,5147968
Bowthorpe,United Kingdom,England,6620355
Boxtel,Netherlands,North Brabant,2758460
Boyabat,Turkey,Sinop,750468
Boyarka,Ukraine,Kiev,711515
Boyeros,Cuba,La Habana,6956647
Boyle Heights,United States,California,5330413
Boynton Beach,United States,Florida,4148677
Boyolali,Indonesia,Central Java,1648084
Boyolangu,Indonesia,East Java,1648082
Boysun,Uzbekistan,Surxondaryo,1217734
Bozeman,United States,Montana,5641727
Bozhou,China,Anhui Sheng,1816234
Bozoum,Central African Republic,Ouham-Pendé,2387546
Bozova,Turkey,Şanlıurfa,320581
Bra,Italy,Piedmont,3181631
Bracken Ridge,Australia,Queensland,6943558
Brackenheim,Germany,Baden-Württemberg,2945591
Bracknell,United Kingdom,England,2655009
Brad,Romania,Hunedoara,683974
Bradenton,United States,Florida,4148708
Brades,Montserrat,Saint Peter,7266440
Bradford,United Kingdom,England,2654993
Bradford West Gwillimbury,Canada,Ontario,5907180
Bradley,United States,Illinois,4885418
Braga,Portugal,Braga,2742032
Brahmapur,India,Odisha,1275198
Braine-l'Alleud,Belgium,Wallonia,2801154
Braine-le-Comte,Belgium,Wallonia,2801150
Braintree,United Kingdom,England,2654938
Braintree,United States,Massachusetts,4931181
Brak,Libya,Ash Shāţiʼ,2218478
Brake (Unterweser),Germany,Lower Saxony,2945545
Brakel,Germany,North Rhine-Westphalia,2945542
Brakpan,South Africa,Gauteng,1016181
Bramhall,United Kingdom,England,2654927
Brampton,Canada,Ontario,5907364
Bramsche,Germany,Lower Saxony,2945474
Brandenburg an der Havel,Germany,Brandenburg,2945358
Brandon,United States,Florida,4148757
Brandon,United States,Mississippi,4419290
Brandon,Canada,Manitoba,5907896
Branford,United States,Connecticut,5283054
Braniewo,Poland,Warmian-Masurian Voivodeship,3102677
Brant,Canada,Ontario,5907983
Brantford,Canada,Ontario,5907990
Brasschaat,Belgium,Flanders,2801117
Brateyevo,Russia,Moscow,571741
Bratislava,Slovakia,Bratislavský,3060972
Bratsk,Russia,Irkutsk,2051523
Braunau am Inn,Austria,Upper Austria,2781520
Braunschweig,Germany,Lower Saxony,2945024
Brawley,United States,California,5330567
Brazzaville,Republic of the Congo,Brazzaville,2260535
Brea,United States,California,5330582
Breaza,Romania,Prahova,683760
Brecht,Belgium,Flanders,2801106
Breda,Netherlands,North Brabant,2758401
Bredbury,United Kingdom,England,2654814
Bregenz,Austria,Vorarlberg,2781503
Brejo da Madre de Deus,Brazil,Pernambuco,3404862
Brejo Santo,Brazil,Ceará,3404833
Bremen,Germany,Bremen,2944388
Bremerhaven,Germany,Bremen,2944368
Bremerton,United States,Washington,5788054
Brenham,United States,Texas,4676206
Brent,United States,Florida,4148803
Brentwood,United Kingdom,England,2654782
Brentwood,United States,Tennessee,4608408
Brentwood,United States,New York,5110077
Brentwood,United States,California,5330642
Brentwood Estates,United States,Tennessee,4608418
Brescia,Italy,Lombardy,3181554
Bressanone,Italy,Trentino-Alto Adige,3181550
Bresso,Italy,Lombardy,3181548
Bressuire,France,Aquitaine-Limousin-Poitou-Charentes,3030303
Brest,Belarus,Brest,629634
Brest,France,Brittany,3030300
Bretten,Germany,Baden-Württemberg,2944200
Breves,Brazil,Pará,3404817
Brezina,Algeria,El Bayadh,2502034
Brezno,Slovakia,Banskobystrický,3060950
Bria,Central African Republic,Haute-Kotto,239899
Bridgend,United Kingdom,Wales,2654755
Bridgeport,United States,Connecticut,5282804
Bridgeton,United States,New Jersey,4500942
Bridgetown,Barbados,Saint Michael,3374036
Bridgeview,United States,Illinois,4885573
Bridgewater,United States,New Jersey,8299576
Bridgwater,United Kingdom,England,2654730
Bridlington,United Kingdom,England,2654728
Brie-Comte-Robert,France,Île-de-France,3030101
Brierley Hill,United Kingdom,England,2654724
Brigham City,United States,Utah,5771960
Brighouse,United Kingdom,England,2654715
Brighton,United Kingdom,England,2654710
Brighton,United States,New York,5110159
Brighton,United States,Colorado,5414941
Brighton East,Australia,Victoria,7932646
Brignoles,France,Provence-Alpes-Côte d'Azur,3030057
Brikama,Gambia,Western,2413753
Brilon,Germany,North Rhine-Westphalia,2944079
Brindisi,Italy,Apulia,3181528
Brisbane,Australia,Queensland,2174003
Bristol,United Kingdom,England,2654675
Bristol,United States,Tennessee,4608657
Bristol,United States,Rhode Island,5221077
Bristol,United States,Connecticut,5282835
Briton Ferry,United Kingdom,Wales,2654668
Brits,South Africa,North-West,1015621
Britz,Germany,Berlin,2944027
Brive-la-Gaillarde,France,Aquitaine-Limousin-Poitou-Charentes,3029974
Brixham,United Kingdom,England,2654663
Brixton,United Kingdom,England,6690877
Brno,Czech Republic,South Moravian,3078610
Broad Ripple,United States,Indiana,4254957
Broadstairs,United Kingdom,England,2654635
Broadview Heights,United States,Ohio,5148273
