,city,country,lat,lon,temp,hum,cloud,wind
435,Jegunovce,MK,42.07,21.12,52.93,76,0,1.48
436,San Jerónimo,PE,-11.95,-75.28,65.91,35,9,6.51
437,Albeşti,RO,47.7,27.07,58.75,76,0,3.36
438,Măieruş,RO,45.9,25.53,48.99,88,100,1.7
439,Săceni,RO,44.23,25.07,60.1,55,100,3.47
440,Wenzhou,CN,28.0,120.67,60.01,67,2,3.13
441,Ryabovo,RU,59.4,31.13,37.53,87,40,6.71
442,Handlová,SK,48.73,18.76,50.79,93,99,1.12
443,Uncia,BO,-18.47,-66.57,61.97,26,26,10.6
444,Sânsimion,RO,46.25,25.88,52.21,86,100,0.72
445,Usilampatti,IN,9.97,77.8,82.4,69,20,1.7
446,Mihăileni,RO,47.97,26.15,58.44,76,0,3.36
447,Ebbs,AT,47.63,12.22,51.69,95,57,2.51
448,Singleton,AU,-32.57,151.18,62.83,86,68,5.01
449,Sullia,IN,12.57,75.38,77.0,94,40,3.36
450,Comrat,MD,46.3,28.66,59.88,83,100,6.15
451,Chhuīkhadān,IN,21.53,80.98,72.43,59,48,3.11
452,Rapallo,IT,44.35,9.23,58.91,99,26,5.21
453,Tlanalapan,MX,19.25,-97.27,58.05,36,7,7.16
454,San Rafael,AR,-34.62,-68.33,88.47,23,7,11.54
455,Fujioka,JP,36.25,139.08,43.0,84,0,8.28
456,Santa María Magdalena Cahuacán,MX,19.64,-99.42,66.13,16,5,11.41
457,Grădiştea,RO,44.23,27.22,64.0,45,99,4.5
458,Fontem,CM,5.47,9.88,68.79,94,93,0.25
459,Bucine,IT,43.48,11.61,54.3,94,100,1.25
460,Sânmartin,RO,46.27,25.93,52.72,86,100,0.63
461,Ostrogozhsk,RU,50.87,39.08,54.25,92,100,4.38
462,Shaturtorf,RU,55.57,39.42,46.15,87,97,4.92
463,Magnor,SE,59.95,12.2,40.71,100,100,3.36
464,Ţigănaşi,RO,47.33,27.47,59.09,67,0,4.34
465,Songjianghe,CN,42.19,127.48,27.91,91,0,6.31
466,Anūpgarh,IN,29.19,73.21,79.11,15,0,8.99
467,Morristown,US,36.21,-83.29,70.65,77,90,3.94
468,San Bernardino Tlaxcalancingo,MX,19.03,-98.27,66.2,37,5,10.29
469,Nueva Gerona,CU,21.88,-82.8,85.66,70,97,13.89
470,Earlston,GB,55.64,-2.67,46.99,95,100,7.99
471,Agua Azul Rancho,HN,14.9,-87.95,89.6,59,75,4.7
472,Druzhba,UA,52.04,33.95,53.2,97,100,9.82
473,Almeirim,BR,-1.52,-52.58,97.77,31,8,7.09
474,Madeji,PK,27.75,68.45,73.4,56,0,4.03
475,Itarantim,BR,-15.66,-40.07,85.01,52,74,7.49
476,Rollingen,LU,49.74,6.11,53.74,93,75,11.41
477,Palo Alto,US,37.44,-122.14,61.75,87,75,2.13
478,Nyzhni Sirohozy,UA,46.85,34.38,63.07,68,100,7.56
479,Malkara,TR,40.89,26.9,65.61,49,8,3.76
480,Ahmadpur East,PK,29.14,71.26,71.1,20,0,2.19
481,Cârligele,RO,45.68,27.1,60.89,72,100,4.68
482,Changuinola,PA,9.43,-82.52,86.86,65,60,6.71
483,Giubiasco,CH,46.17,9.01,55.58,100,5,1.12
484,Myurego,RU,42.41,47.69,55.4,58,0,6.71
485,Wangou,CN,42.06,126.91,27.23,92,0,4.88
486,Vinhedo,BR,-23.03,-46.98,77.0,61,75,6.93
487,Dumalinao,PH,7.82,123.37,72.91,97,100,2.17
488,Zapolyarnyy,RU,69.42,30.81,33.8,99,75,12.75
489,Černošice,CZ,49.96,14.32,51.91,81,0,10.29
490,Daule,EC,-1.86,-79.98,84.2,58,75,8.05
491,Purmerend,NL,52.51,4.96,57.99,89,100,4.0
492,Regensdorf,CH,47.43,8.47,50.7,87,0,1.12
493,Karpogory,RU,64.0,44.45,29.62,98,99,5.3
494,Kamoke,PK,31.97,74.22,71.29,56,0,4.36
495,Scoarţa,RO,45.02,23.45,58.41,59,100,3.02
496,Nohfelden,DE,49.59,7.14,53.91,97,100,1.01
497,Opalenica,PL,52.31,16.41,52.07,93,0,2.24
498,Baixa Grande,BR,-11.96,-40.17,91.74,33,50,10.4
499,Consacá,CO,1.22,-77.47,70.03,66,67,6.17
500,Shinshiro,JP,34.9,137.5,55.33,50,2,7.0
501,Escaldes-Engordany,AD,42.51,1.53,52.3,58,0,6.93
502,Tahe,CN,52.33,124.73,26.01,96,0,3.67
503,Castletown,IE,53.03,-9.07,47.57,76,20,13.87
504,Chushan,CN,33.3,113.65,53.22,49,40,4.47
505,Bom Jesus,BR,-9.07,-44.36,98.08,27,80,8.3
506,Teabo,MX,20.4,-89.28,86.81,68,42,6.29
507,Santa Catarina,BR,-27.0,-50.0,82.0,64,100,1.01
508,Langerwehe,DE,50.82,6.35,58.05,82,78,3.0
509,Harpenden,GB,51.82,-0.36,57.42,93,100,18.34
510,Ridgecrest,US,35.62,-117.67,71.83,28,72,1.01
511,Tonacatepeque,SV,13.78,-89.12,81.88,78,40,3.36
512,Darnétal,FR,49.45,1.15,59.34,87,90,26.4
513,Tucumã,BR,-0.18,-50.05,91.06,50,2,10.78
514,East Haddam,US,41.45,-72.46,64.26,88,90,4.7
515,Carmona,PH,14.3,121.02,77.86,94,90,2.24
516,Hetauda,NP,27.43,85.03,60.8,87,20,2.24
517,Mahanje,TZ,-9.93,35.33,71.58,58,29,4.14
518,Mabilao,PH,16.15,120.42,77.43,84,100,1.61
519,Richton Park,US,41.48,-87.7,44.69,70,75,4.7
520,Rasht,IR,37.28,49.58,62.6,100,0,1.39
521,Talwandi Bhai,IN,30.85,74.93,68.85,24,0,3.38
522,Ushiku,JP,35.97,140.13,55.98,93,0,6.93
523,Copăcel,RO,46.98,22.17,59.0,82,90,4.7
524,Yantarnyy,RU,54.87,19.94,52.77,87,75,11.18
525,Kinnelon,US,41.0,-74.37,65.86,69,90,5.01
526,Valmontone,IT,41.78,12.92,56.48,99,15,3.02
527,Loon,PH,9.8,123.79,80.6,83,90,3.36
528,Dunajská Streda,SK,47.99,17.61,53.53,87,20,5.82
529,Rădăşeni,RO,47.47,26.25,57.06,76,0,3.36
530,Rājula,IN,21.05,71.43,79.74,54,9,5.7
531,Ban Pong,TH,13.82,99.88,72.81,80,86,4.61
532,Dulag,PH,10.95,125.03,78.01,86,100,6.15
533,Muggia,IT,45.6,13.77,61.88,93,90,3.15
534,Favara,IT,37.32,13.66,66.29,73,100,9.46
535,Tagbubunga,PH,10.58,123.72,80.6,83,90,3.36
536,Dusetos,LT,55.75,25.85,49.68,89,100,9.4
537,Jasło,PL,49.75,21.47,49.6,100,66,4.0
538,Mingshui,CN,36.72,117.5,55.8,34,91,7.2
539,Buchin,RO,45.37,22.25,56.01,82,100,1.54
540,Ode,NG,7.79,5.71,76.64,72,99,3.53
541,Barnaul,RU,53.36,83.76,24.8,73,75,15.66
542,Enschede,NL,52.22,6.9,56.03,88,89,1.99
543,Nueva Italia,PY,-25.62,-57.5,96.8,28,40,4.7
544,Răcăşdia,RO,44.99,21.62,57.09,93,100,3.36
545,Bulusan,PH,12.75,124.14,79.93,84,100,5.37
546,Quezon,PH,7.73,125.1,72.7,91,100,2.68
547,Livadeia,GR,38.44,22.87,66.0,58,75,3.0
548,Megyaszó,HU,48.18,21.05,54.21,93,75,5.82
549,Cabilocaan,PH,16.02,120.38,76.73,88,100,2.89
550,Zhiletovo,RU,54.69,36.02,48.2,93,75,4.47
551,Lisbon,PT,38.72,-9.13,63.39,72,75,12.75
552,Barberton,ZA,-25.79,31.05,72.72,49,0,11.41
553,Gurbuki,RU,42.61,47.6,55.4,58,0,6.71
554,Abony,HU,47.19,20.0,54.21,100,90,2.24
555,La Unión,PE,-5.4,-80.75,81.14,44,4,17.49
556,Schermbeck,DE,51.68,6.87,58.01,83,96,5.99
557,Taebla,EE,58.95,23.74,47.26,93,90,6.93
558,Rijnsburg,NL,52.19,4.44,59.83,85,100,10.0
559,Butere,KE,0.21,34.49,67.33,82,94,3.09
560,Calimaya,MX,19.16,-99.62,66.2,16,5,11.41
561,Santa Maria,BR,-29.68,-53.81,85.01,54,92,5.93
562,West Columbia,US,33.99,-81.07,81.55,57,20,4.7
563,Pagsanjan,PH,14.27,121.46,77.85,94,90,2.24
564,Gelemso,ET,8.82,40.52,64.74,35,17,6.22
565,Talalayivka,UA,50.96,31.92,53.13,89,100,7.34
566,Banagher,IE,53.19,-7.99,47.01,79,56,1.99
567,Mongo,TD,12.18,18.69,85.28,20,15,4.68
568,Progreso,MX,21.28,-89.67,88.41,66,75,9.17
569,Villerupt,FR,49.47,5.93,54.41,92,97,7.0
570,Tataouine,TN,32.93,10.45,73.4,60,52,10.29
571,San Joaquin,US,37.93,-121.3,63.55,63,1,2.44
